30,30.8,4
30.9,31.133,3
31.167,31.6,1
31.867,33,4
33.133,34.033,1
35.6,37.167,1
37.267,37.633,2
37.8,38.8,4
38.9,42.467,3
42.6,42.733,1
43.067,44.833,3
45.033,46.567,4
46.733,47.6,1
48,48.033,3
48.067,48.1,2
48.133,48.2,3
48.233,48.4,2
48.467,48.733,2
49.033,51.267,2
51.4,54,3
54.133,56.833,4
57.067,57.2,4
57.233,57.7,2
57.833,58.033,4
58.1,58.5,2
58.567,58.933,1
59,59.533,3
59.567,59.733,2
60.033,60.2,2
60.233,61.6,3
61.767,64.3,4
65.033,66.433,4
66.5,66.9,3
66.933,67.3,4
67.433,69.967,3
71.2,72.7,3
73.133,73.3,3
73.667,73.833,1
74.1,74.167,1
74.267,74.5,4
74.567,74.733,3
75.033,80.833,1
80.867,81.333,3
81.367,81.433,1
81.467,81.633,3
81.8,82.667,1
83.1,86.2,1
86.333,90.9,4
91,91.767,3
91.833,93.167,1
93.533,94.933,4
105.17,105.2,1
105.47,105.5,1
106.03,106.57,1
107.53,109.47,1
109.6,114.67,4
114.73,115.03,1
115.17,115.97,1
121.97,123.6,4
141.37,141.97,1
142.3,143.33,4
143.37,143.87,1
144.23,144.47,2
144.5,146.2,4
150.6,153.07,4
167.1,170.57,2
170.8,172.93,4
